,id,name,age,lead_id,lead_type,bought_policy,policy_amount,Policy?
73,73,HMXEQH,72,1041408,C,0,0,no
74,74,812O6,29,1195434,A,0,0,no
75,75,0SPKA,39,583197,A,0,0,no
76,76,ZT358EQL7,58,1143391,A,0,0,no
77,77,277Z0E,52,376681,A,0,0,no
78,78,DVKB9CFB,65,333021,B,0,0,no
79,79,YEYIP9KQS,56,994345,B,1,499,yes
80,80,IQH2V5,26,764868,C,0,0,no
81,81,VI2PI,69,802406,B,0,0,no
82,82,Q1SG2T5Q6,37,829771,A,1,208,yes
83,83,SMSEBRID,71,1182873,C,1,282,yes
84,84,GJXLE011Q,56,571652,A,0,0,no
85,85,496A9JHLO9,52,862991,B,0,0,no
86,86,BB64K,71,1012174,A,0,0,no
87,87,O5ZM4,27,158612,B,1,230,yes
88,88,145C9ZR,31,1007626,B,0,0,no
89,89,E3RZUPEOVM,63,495493,A,0,0,no
90,90,D82AT,28,533650,B,1,268,yes
91,91,2MI0K,59,320296,A,1,198,yes
92,92,2XD1XJOYV,37,984142,A,1,392,yes
93,93,F3AQZLILIX6,62,919392,A,1,308,yes
94,94,S6KDY1V7W,42,645987,C,1,518,yes
95,95,01TKR5MEL0,47,189686,B,0,0,no
96,96,OOQQAWJ,29,668888,A,0,0,no
97,97,6J47QJJD,60,547598,A,0,0,no
98,98,9SKWT7Q,61,137769,C,0,0,no
99,99,O8SMRXXA,40,606453,A,1,465,yes
100,100,OUFDUU,66,741091,C,1,461,yes
101,101,UDSW73DWT,54,711215,B,1,195,yes
102,102,EQV67P,55,299517,A,0,0,no
103,103,7550ZCDFTD,57,200807,A,1,227,yes
104,104,0QHYN8KF,68,896187,A,0,0,no
105,105,LSIPUV,27,1031587,C,0,0,no
106,106,LQ996RCES,50,546378,A,1,137,yes
107,107,DO7BK83C,63,313018,C,1,136,yes
108,108,ZNPSB78KO,44,545688,C,1,524,yes
109,109,8SIFDY5G34,75,1079870,C,0,0,no
110,110,REM4UQD127,67,1001144,C,1,485,yes
111,111,MJ4OF,57,346338,B,1,197,yes
112,112,R8XJP0,31,1001629,A,1,499,yes
113,113,TBKVMCHCP1,69,198981,C,1,244,yes
114,114,QE2FU,33,635765,C,1,253,yes
115,115,LRU5AI8,42,1033131,B,1,487,yes
116,116,KY6PT6V3I,53,318348,B,0,0,no
117,117,Z77AN0S16XQ,43,564662,C,1,444,yes
118,118,DJILZYMRE2,66,1170651,B,0,0,no
119,119,YO315ZAH,39,254867,B,1,332,yes
120,120,7SN2USG6J,56,1003907,B,1,513,yes
121,121,H2LEDC,50,907591,B,0,0,no
122,122,25KSI9,26,341863,A,0,0,no
123,123,D0Z6THHA,34,495044,C,1,238,yes
124,124,8SF7M52,60,781754,C,1,273,yes
125,125,TEVO35,41,375106,C,1,514,yes
126,126,C3XF56ZI0,52,840384,B,0,0,no
127,127,S0AVF37VUZ9,64,233959,A,0,0,no
128,128,H91LZ2,46,834390,A,1,323,yes
129,129,IW13K4H5,33,860165,A,0,0,no
130,130,MA514I,55,433823,B,0,0,no
131,131,5BCJV,53,965067,B,0,0,no
132,132,RENCT41FBP4,67,618071,C,0,0,no
133,133,BEJ0J5,66,611511,A,0,0,no
134,134,JO38A,51,1026483,A,1,238,yes
135,135,QQAXGUWGLJ,71,879034,B,1,337,yes
136,136,9Y0RKE,30,256071,B,1,264,yes
137,137,0RERSUP4O5K,57,325879,A,1,175,yes
138,138,6DCMH,47,863334,C,0,0,no
139,139,03GU1SM,70,317469,A,1,519,yes
140,140,MB7Y7FBGR,70,438117,A,0,0,no
141,141,GR4TZI,32,481611,C,1,396,yes
142,142,KD8USE0,31,949046,C,1,577,yes
143,143,HEFVYD,69,651932,C,1,565,yes
144,144,FKKCI8BARO,35,171365,B,1,419,yes
145,145,0GQTDZ,26,458899,A,0,0,no
146,146,IK3JST0B,45,412829,B,1,366,yes
147,147,CIUH1AV8C,44,418747,A,1,470,yes
148,148,GN90SKKKVDR,69,1049225,A,0,0,no
149,149,RZYUHL,54,771891,A,1,504,yes
150,150,FIXDU3,73,295887,C,0,0,no
151,151,0MCVR7,45,319636,C,0,0,no
152,152,9VQS2FIVUJ,51,765827,C,1,282,yes
153,153,AFRYM0VSI,49,1034702,C,1,170,yes
154,154,V5FES,67,975926,B,0,0,no
155,155,894GIW0E,56,547010,C,1,395,yes
156,156,9W9J2,46,617759,A,0,0,no
157,157,SHQ19U,63,451516,A,1,313,yes
158,158,1RJKUL,31,231346,B,0,0,no
159,159,1QXBRA,58,698411,B,1,124,yes
160,160,I82JO8G,49,278929,A,0,0,no
161,161,0DS0EUA0,42,215662,C,1,441,yes
162,162,YN2GGT8KLY,70,143023,C,1,568,yes
163,163,94S47FS,57,821020,B,1,452,yes
164,164,84MQRPSMH6,67,152090,C,0,0,no
165,165,LJU6WO7K3,33,514051,A,0,0,no
166,166,G6JPS,61,1234456,B,1,360,yes
167,167,USM7479V639,34,505937,C,1,144,yes
168,168,9L7VLWQ0FF,42,168039,A,1,339,yes
169,169,32ZQQWUDNEI,38,1216435,A,1,488,yes
170,170,867OHDAYC53,69,792909,A,1,544,yes
171,171,NTAEM5P61L,38,393803,B,0,0,no
172,172,YU3W492F,60,1230779,A,1,254,yes
173,173,9KGRYTMD7D,44,388319,B,1,556,yes
174,174,25NOI63EC,65,1126524,C,0,0,no
175,175,PYF6JY2,70,1130714,B,1,313,yes
176,176,AN7FEZ,72,873104,B,0,0,no
177,177,9F8YPQPLDM,30,428175,A,0,0,no
178,178,A50LES6QUY,67,1156797,C,0,0,no
179,179,6BD9I,63,955731,A,1,273,yes
180,180,OCOPS,55,558596,A,0,0,no
181,181,39QB4G5,60,998195,C,1,331,yes
182,182,VR52D4AU6J,45,996875,B,1,480,yes
183,183,GWLX252Y,41,913900,A,0,0,no
184,184,C0LPGHMV,73,933523,A,1,209,yes
185,185,TKW8ZEV3,64,621765,A,1,163,yes
186,186,RCL2GG,38,495246,B,1,223,yes
187,187,4VT03B6,57,1142392,B,0,0,no
188,188,KMUBQDPCO4,73,429598,B,0,0,no
189,189,MCIKEFTQI,28,371771,A,0,0,no
190,190,QJW61INRIL0,39,1025435,A,1,536,yes
191,191,ZXBIMWA,43,1180904,B,1,382,yes
192,192,3PZAZIGN,68,1170416,B,1,234,yes
193,193,GF8LMVB3A1,66,312092,B,0,0,no
194,194,1QMTV7UAC,52,526553,B,1,115,yes
195,195,Z4I4577,31,918727,B,1,233,yes
196,196,OX5P9DISF4,74,1229442,B,0,0,no
197,197,290909FWJ8G,60,959291,A,0,0,no
198,198,EED7G2S8JH,48,667504,B,0,0,no
199,199,CHRLXNYZH7,25,752919,C,1,529,yes
200,200,EBXWVR40P9,65,329687,B,0,0,no
201,201,WJAUWE0,34,980532,B,1,414,yes
202,202,BDPSK,59,1184150,C,1,136,yes
203,203,KDZR13XOH6,57,638297,A,0,0,no
204,204,V81FNSJ8ZU,72,960569,B,0,0,no
205,205,J60TCH,26,1091031,C,1,409,yes
206,206,DV2CGCC9,65,192322,B,0,0,no
207,207,7WCVX4MZS1Y,72,1086404,B,0,0,no
208,208,9D6JX8VM1,66,509485,B,0,0,no
209,209,N15H0BD30,58,1205574,B,1,523,yes
210,210,0WHMTHHX2K,34,273730,B,1,460,yes
211,211,BEHCMGNST,75,1029612,C,0,0,no
212,212,L9UHBQP1BSY,68,1166050,A,0,0,no
213,213,2G1YADXC1,40,576431,C,1,403,yes
214,214,JT0A2G6XN,37,1208526,A,0,0,no
215,215,1UOMDZ97ISN,64,907967,A,1,166,yes
216,216,MCIBO77FXJ,39,347060,B,1,565,yes
217,217,R2LH36ZWMWF,40,1113656,B,1,310,yes
218,218,KSDZJU,51,889833,C,0,0,no
219,219,54VGAG,26,1204245,B,0,0,no
220,220,BHAIY4SKSW,57,243665,C,0,0,no
221,221,5X8GJHVV2U,35,332814,C,1,377,yes
222,222,A809A6Y,67,627383,C,0,0,no
223,223,YKID7XC,25,1017394,B,1,301,yes
224,224,MAMNOZGQ,41,481314,A,1,373,yes
225,225,M718T8MYI,69,970259,B,0,0,no
226,226,YCQ620GLTR2,37,661563,B,0,0,no
227,227,YH5ZM0,50,474201,B,0,0,no
228,228,PSOXAUO,70,314697,C,1,148,yes
229,229,F4JLA3,58,701807,B,1,165,yes
230,230,9CPIY4Y,29,335752,B,0,0,no
231,231,M42RGIML,71,150450,C,1,421,yes
232,232,1DF1I2U3,27,1193920,B,0,0,no
233,233,319O68X4SC1,41,1092232,C,1,470,yes
234,234,PE0WZNHX,36,403232,B,0,0,no
235,235,65M27KL,34,551578,A,1,319,yes
236,236,K1DYR0,60,923844,B,1,585,yes
237,237,0P5429,65,816817,C,1,462,yes
238,238,YBRBJOV,52,145411,B,1,279,yes
239,239,YYCXFNV,64,1110627,C,0,0,no
240,240,6S1OY,52,621330,B,0,0,no
241,241,O58B2,36,1157099,C,1,289,yes
242,242,ZVK01HR,38,789048,B,1,164,yes
243,243,NVI73I55D4,58,984980,A,0,0,no
244,244,QR7TTX0WI,68,636114,C,1,219,yes
245,245,58W693,34,1153026,C,0,0,no
246,246,U98WJTI1O7A,51,389213,C,0,0,no
247,247,BEV82WGKXBN,29,1133552,C,1,229,yes
248,248,UASOR8FT,49,963908,A,0,0,no
249,249,47H090,52,406664,B,1,203,yes
250,250,1V5334,42,983838,C,1,506,yes
251,251,6ADQW90,52,260971,B,0,0,no
252,252,P81UYU7,59,1155578,C,1,429,yes
253,253,M5XHEQOP,39,805298,B,1,395,yes
254,254,ALMVJJDP8O,56,845605,C,0,0,no
255,255,51KZETTZBJ,37,557798,A,1,570,yes
256,256,E4U2MMJ4,42,438486,B,1,385,yes
257,257,TJGYRW,37,1136106,B,1,380,yes
258,258,GLN6AA,27,274930,A,1,540,yes
259,259,O46BWSBN497,45,1041044,A,0,0,no
260,260,5DK43SIRM,43,231275,C,1,553,yes
261,261,UVTHR28,70,302580,A,1,327,yes
262,262,4IL5WOV,34,240459,C,0,0,no
263,263,UJJ5P9CGQ,71,1144376,A,0,0,no
264,264,ZZT3V,55,778619,A,1,399,yes
265,265,DWUQ14S6K5J,64,1174106,A,1,391,yes
266,266,7YG83B2B89D,46,1006912,B,1,174,yes
267,267,VLQF1X9,71,438711,A,1,178,yes
268,268,UXQ4WG3,67,1074393,B,1,458,yes
269,269,KMF22O2S,56,432853,C,1,361,yes
270,270,FTBXWQ26I,71,620743,A,0,0,no
271,271,YHUMPY1YNQ,30,541619,A,0,0,no
272,272,FRBX2,58,550599,C,1,470,yes
273,273,L9LVZV353IR,60,877188,C,0,0,no
274,274,1GJ5AM,63,318545,C,1,271,yes
275,275,K04DA58UZQH,57,822035,A,1,457,yes
276,276,XTV9UT,57,881266,C,0,0,no
277,277,3CN7GAW5G,73,700660,B,1,332,yes
278,278,G8J85MN8DC,47,373528,C,0,0,no
279,279,MK316Z0,26,454557,A,0,0,no
280,280,KRWZLCTJ,68,462501,C,1,188,yes
281,281,O8XKQDQKY,71,947335,B,0,0,no
282,282,RBAVV041,34,908290,C,1,579,yes
283,283,1F41Y,46,579838,A,1,442,yes
284,284,PH04OM71Z,44,998207,B,1,400,yes
285,285,SJKRUY,73,732508,B,1,142,yes
286,286,TLLR64,36,632802,A,1,134,yes
287,287,YQ8C7YQER,32,709060,A,0,0,no
288,288,XICGB1Z0LI,70,828332,A,0,0,no
289,289,KTUN1,39,391593,C,1,270,yes
290,290,TWABXH,57,661519,C,1,532,yes
291,291,25927ME,30,1026219,B,1,468,yes
292,292,J3MNGLM07G,34,1217138,C,1,293,yes
293,293,RT0SZH,27,572251,C,0,0,no
294,294,LWA2WB64,56,738613,B,0,0,no
295,295,VMH14LLGQ,34,1073119,B,1,586,yes
296,296,860HMIKSRQ5,53,744160,C,1,225,yes
297,297,N9WUJ,55,421127,B,0,0,no
298,298,2MJ6HZB60U,28,1060734,A,1,295,yes
299,299,BKIFPX98,57,1005561,C,1,393,yes
300,300,3IF92INV,63,592929,A,0,0,no
301,301,28YB5HUF,38,874279,C,1,214,yes
302,302,RK3VQQDE,47,921704,A,0,0,no
303,303,6HONQZY,62,975577,A,1,144,yes
304,304,9FI87NN,51,988807,B,1,455,yes
305,305,Q2VPG49,53,385900,C,1,289,yes
306,306,5MMJPPAU2,34,339660,B,0,0,no
307,307,MF6YBN49Q,35,419130,B,1,102,yes
308,308,CH17XG,45,934488,B,1,498,yes
309,309,USUC04,59,960268,B,0,0,no
310,310,FPZ3OVWW,50,380228,C,1,199,yes
311,311,D61H87W3HE,70,501752,B,0,0,no
312,312,RZNOQ7,56,340656,C,0,0,no
313,313,O6JETH,27,592950,B,0,0,no
314,314,G6ACU,69,836936,B,0,0,no
315,315,2Z8NYQ7,30,451016,C,1,433,yes
316,316,G86GU,65,651362,C,0,0,no
317,317,VK2I4IM,41,642971,B,1,306,yes
318,318,6146BXIG1,38,735251,C,0,0,no
319,319,QNFBKEVNZ,28,1066657,B,0,0,no
320,320,IM05EB,27,311686,C,1,561,yes
321,321,REV5DRLD,49,1026707,A,0,0,no
322,322,2Y8DVHO23,28,589217,B,0,0,no
323,323,4NDM138,25,344449,A,1,372,yes
324,324,0X7QK,59,570730,C,1,319,yes
325,325,MTXSJ72ZID,46,441850,C,1,226,yes
326,326,BWV04GHBJ,63,639485,B,0,0,no
327,327,NNBDCXR5BG,31,206522,B,0,0,no
328,328,LJWEUF,56,706519,B,0,0,no
329,329,TZWHGV,27,956939,C,1,216,yes
330,330,VECGS6,48,923637,C,0,0,no
331,331,4W4Y86X,66,808107,B,1,191,yes
332,332,9Z6KEUKOX8H,37,539724,A,0,0,no
333,333,GEUOC64J,29,542622,C,0,0,no
334,334,R47WEOU,55,477884,C,1,337,yes
335,335,44DXRESX,27,262746,A,0,0,no
336,336,XFYNX,74,619227,B,1,262,yes
337,337,6JEX1DL,42,528342,C,1,345,yes
338,338,3CB9KNEJ,74,512971,B,1,546,yes
339,339,M3OKX6,28,358113,C,1,366,yes
340,340,GL62CW,38,369844,C,1,112,yes
341,341,CH3MQZ,32,540790,B,1,529,yes
342,342,9CNITXR,75,551966,C,1,496,yes
343,343,R11JN6MMB,38,436130,C,0,0,no
344,344,1YB5U,67,946131,B,1,566,yes
345,345,M8YWR9,45,345487,A,1,380,yes
346,346,5SPD75,58,1006760,C,1,457,yes
347,347,F629W0Y,42,970292,C,1,473,yes
348,348,IQTV6ONQA,39,375832,A,1,178,yes
349,349,PS4KLD6,47,630048,A,1,533,yes
350,350,7WKSMJ8DOYT,71,598301,A,1,452,yes
351,351,FEXZ8B3,42,1154990,A,1,581,yes
352,352,9H514PYBO,51,990323,A,1,200,yes
353,353,77FZCXBCN,56,640811,C,1,199,yes
354,354,ZE4JHL54KU,47,1116735,A,1,134,yes
355,355,H0HGNH,31,358327,B,1,268,yes
356,356,7KTHR0OZ3,53,1004673,C,1,111,yes
357,357,9WQL37,72,832415,A,1,397,yes
358,358,WWSR3AK60I,69,504526,B,1,593,yes
359,359,TSR98UO,57,655654,B,0,0,no
360,360,B8C83,72,361717,B,1,379,yes
361,361,P0WG5,61,948071,A,1,404,yes
362,362,EXB8XA,44,715349,C,0,0,no
363,363,CKG37BPS62,73,607818,A,0,0,no
364,364,WOHF65NUA,72,640633,C,0,0,no
365,365,1TTCRBZ,73,953062,B,0,0,no
366,366,L5CGG6UMB,48,941550,A,0,0,no
367,367,QODA45UK7,59,252103,B,1,412,yes
368,368,R1BTMJ,31,872447,A,0,0,no
369,369,R0ZPAJA,66,363801,C,1,582,yes
370,370,6EDEYJAMDV,67,233878,B,1,239,yes
371,371,U7J3SJ91,41,836145,C,1,338,yes
372,372,75TBKR9Y,46,896278,B,1,559,yes
373,373,8V6JP,41,885069,A,1,393,yes
374,374,QRMVAGS,62,799669,B,1,558,yes
375,375,BZWRWW,38,841387,B,1,326,yes
376,376,FNGP7C7EVM,47,977631,A,1,173,yes
377,377,NCXNQKSVH,48,771775,C,1,359,yes
378,378,ZVY92I,69,1182509,A,0,0,no
379,379,GLMD45ABJ,58,140618,A,1,518,yes
380,380,FIXLVW,70,209050,A,0,0,no
381,381,FNVKT1CVR1,58,161653,C,0,0,no
382,382,IN3GAR04S,36,194304,A,1,103,yes
383,383,KGSIEQ,46,297375,A,1,440,yes
384,384,LDDZO510Y,70,877057,C,0,0,no
385,385,8ACV9A,60,158132,A,1,184,yes
386,386,IJIT98,37,1015934,A,0,0,no
387,387,P59DOIX37,26,1001339,A,1,173,yes
388,388,ETKA8TPX,49,1143448,C,1,519,yes
389,389,XVAVVBW,34,904886,A,1,360,yes
390,390,DAFO9C,25,758464,A,1,100,yes
391,391,776UC,72,1153873,C,1,450,yes
392,392,8Z3EQAF,70,678809,A,0,0,no
393,393,DQBIE3,29,208695,C,0,0,no
394,394,93GLV7,41,163589,C,1,433,yes
395,395,9J5I9U0,41,752003,B,1,429,yes
396,396,FBP1315I,39,465694,B,1,510,yes
397,397,T49QHT8,70,1160622,B,0,0,no
398,398,I8HWF9GK,50,333030,C,1,111,yes
399,399,L19M2,69,696463,B,0,0,no
400,400,ZIZHUL,61,1028506,B,0,0,no
401,401,5U1996POZA,31,637061,C,0,0,no
402,402,IB3G6DEGWYB,31,1072195,B,1,333,yes
403,403,XT6H4JG,33,1035061,B,1,154,yes
404,404,ZJ1QF6Z,65,1182678,A,1,284,yes
405,405,UJ1069F,72,339140,C,1,398,yes
406,406,I9XVT7M,42,205438,B,1,561,yes
407,407,GJ9U3EG,34,1147753,A,1,203,yes
408,408,XGWW88M9SNT,36,986432,B,0,0,no
409,409,C48LGMG0CQ,29,610240,C,1,251,yes
410,410,HJDISU3,61,1142817,A,1,188,yes
411,411,OGB8PWPBVK,47,602131,B,1,465,yes
412,412,CYSGWWO,42,660942,C,0,0,no
413,413,PS05TCZ,73,1151480,C,1,195,yes
414,414,4QK4RNRVI3U,48,241658,A,0,0,no
415,415,S63LU8TUW,66,325323,C,1,258,yes
416,416,EZP8IW9H,58,511820,A,1,442,yes
417,417,H1FDW8UWZN0,61,634610,B,0,0,no
418,418,8S6MOS3,40,1072294,B,1,469,yes
419,419,T2AXISXFD,32,324161,B,1,144,yes
420,420,9I7PWFA,57,1207953,A,1,533,yes
421,421,08YMLI4QQ,58,591220,A,1,143,yes
422,422,B6D6WP4ZK,72,921943,A,1,291,yes
423,423,Z0R91,65,182468,A,1,236,yes
424,424,1JCOUBC8P6,64,306267,A,1,178,yes
425,425,5JUR8GY0,47,914150,A,0,0,no
426,426,GWWVO,39,200939,B,1,305,yes
427,427,T12PJ8Y,65,978512,A,1,318,yes
428,428,9M8VWV0,48,840358,C,0,0,no
429,429,5PBV7JAL,70,1090467,A,1,525,yes
430,430,1S3J4PU90,31,713400,B,1,259,yes
431,431,VOBX53,47,193715,C,1,235,yes
432,432,U4JKU89R7SJ,75,1012289,B,1,282,yes
433,433,7SRXSLSNUQ,47,1203393,C,0,0,no
434,434,7TI4GG,60,1113022,C,0,0,no
435,435,DLLRLJ,70,909342,B,0,0,no
436,436,PPPWHJE3H,40,931343,C,1,470,yes
437,437,13JS7D,68,1100477,A,0,0,no
438,438,51V3A8S,74,1012349,A,0,0,no
439,439,7QQ6WR3JON,68,175134,B,1,420,yes
440,440,ES9J4TAJD,35,358341,A,1,183,yes
441,441,84AF4LLVT,33,368560,A,0,0,no
442,442,2CK58PSMTG,28,786905,A,1,534,yes
443,443,7WQHR5X,35,1044049,C,0,0,no
444,444,07SAYPVH3,61,692923,C,0,0,no
445,445,AQRBJ7,53,543751,B,1,189,yes
446,446,NZOMKT95,29,877362,C,1,576,yes
447,447,WLVV5DNK,58,378212,C,0,0,no
448,448,0UNHNXQGFKI,53,1196590,C,0,0,no
449,449,6OMBLRNFWL,39,147253,B,1,530,yes
450,450,8WNY8QPG,26,1150721,B,0,0,no
451,451,KDN63UJ5OGD,27,221733,C,1,479,yes
452,452,B2FI4,54,1049237,A,0,0,no
453,453,1ICSLLO,42,170705,A,0,0,no
454,454,YQ40KWVL,29,1168556,C,0,0,no
455,455,QEBNHA,33,717179,C,1,450,yes
456,456,M50QBOA,73,1160851,B,0,0,no
457,457,PEK8FB,45,956664,C,0,0,no
458,458,9KUV72,50,1110839,A,0,0,no
459,459,3Z71ECG2V,55,581167,A,0,0,no
460,460,TGV1DDO0I,42,721713,C,1,468,yes
461,461,H94ZUD,53,219743,B,0,0,no
462,462,V816SWGX,58,854332,B,0,0,no
463,463,893HB3R,46,1095592,B,1,589,yes
464,464,0JINE2O9,26,196995,A,0,0,no
465,465,O12GVPN2,61,729759,B,0,0,no
466,466,Y6LRIBA2Z5,53,502288,A,0,0,no
467,467,FCNKHLZ,52,865908,C,1,355,yes
468,468,VIKW4Z06,68,478732,C,0,0,no
469,469,TWHIQ7O85,71,342414,A,0,0,no
470,470,G3TZAC1,47,854398,A,1,216,yes
471,471,1GVAX3VN,35,954486,B,1,432,yes
472,472,LRE7KB58U6,48,632479,C,0,0,no
473,473,UI11CZZ73,66,877691,A,0,0,no
474,474,FQHWNKIW20J,32,889036,C,0,0,no
475,475,QLME7E0G,55,623701,B,1,393,yes
476,476,0KQPBYEI0,54,1066073,B,0,0,no
477,477,9CVIG,30,723404,B,1,355,yes
478,478,5QGZ88,51,803721,A,0,0,no
479,479,H79RE60U,48,769386,C,0,0,no
480,480,32KK3UQR7U0,64,1167072,C,0,0,no
481,481,93H4I7,44,1050646,B,0,0,no
482,482,NQL015,66,934696,A,1,557,yes
483,483,OBERBMVDS5,65,985304,C,0,0,no
484,484,20N69R,42,562153,C,1,542,yes
485,485,YTKHESYPS,71,1074529,B,1,539,yes
486,486,8HPAH398WZI,67,1083680,A,1,481,yes
487,487,JHHNERT,35,1116219,B,1,247,yes
488,488,LGMX3LBMB,66,695036,B,0,0,no
489,489,KULIEXB,65,821936,B,0,0,no
490,490,DJBO5TDAM9O,34,820155,C,0,0,no
491,491,9QWK4B3KN,28,1028560,B,0,0,no
492,492,J0DDFF9VNX,45,789343,B,1,369,yes
493,493,X4D7AANR,32,500358,A,0,0,no
494,494,AOJV2,31,495765,A,1,415,yes
495,495,79WMW9ITJL,54,480207,A,1,390,yes
496,496,R5HQF,46,857190,C,0,0,no
497,497,RI53JJ3YTEP,75,243570,A,0,0,no
498,498,L7DIRN9V,73,792373,C,0,0,no
499,499,U7S59F2VR,26,299509,C,1,396,yes
500,500,PBI9FJEWB,39,773335,C,1,396,yes
501,501,Z7GXXUN,48,950930,A,1,239,yes
502,502,PGOYJD6,64,323868,A,1,394,yes
503,503,0A8XPPPT,37,670639,B,0,0,no
504,504,VCZW49H,56,1135795,A,0,0,no
505,505,K00BM3,48,426927,C,0,0,no
506,506,DB65QXZ2DD,61,1133067,C,1,491,yes
507,507,7C36AYHK87N,40,457814,B,1,550,yes
508,508,QXR9V,65,616739,A,1,212,yes
509,509,X3P7AJAJ5,37,500338,B,0,0,no
510,510,03VQ5A,64,396421,A,1,100,yes
511,511,JWKWHO,54,825925,B,0,0,no
512,512,OAL99PYP,69,1070751,B,1,151,yes
513,513,RY19934ZA2X,26,730516,A,1,263,yes
514,514,HJ78XG,41,229370,A,1,402,yes
515,515,V2NQ4BYP,53,205277,C,1,153,yes
516,516,6Y59FQ7,28,666246,A,0,0,no
517,517,NM9ULJN8RE,42,261421,A,0,0,no
518,518,FJ2XW8SPP,62,187795,A,1,352,yes
519,519,4FNMHT,72,391750,B,1,565,yes
520,520,RM3HF5M5P,65,1037121,A,0,0,no
521,521,RYI8223,64,664822,C,1,433,yes
522,522,4EX8TCNDG,57,1206214,A,1,105,yes
523,523,0S0K0QW08Z,43,903585,A,0,0,no
524,524,GZIGF79,53,986647,A,1,160,yes
525,525,L0SX2XE,26,571763,A,1,422,yes
526,526,FOM6H0IVFE,48,820184,B,0,0,no
527,527,KI3ZX6ESZ3,28,702913,C,1,368,yes
528,528,KMJMPKE,43,653419,B,0,0,no
529,529,WBC3IRVJIQL,55,835187,B,0,0,no
530,530,LUWXR01OR,59,854281,C,0,0,no
531,531,P2RICGS,30,978293,C,1,564,yes
532,532,J4PGS4CH11,47,744415,A,1,346,yes
